Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,06/30/2015 03:00:00 AM,19.30
63rd Street Weather Station,06/30/2015 04:00:00 AM,19.00
63rd Street Weather Station,06/30/2015 05:00:00 AM,19.10
63rd Street Weather Station,06/30/2015 06:00:00 AM,18.80
63rd Street Weather Station,06/30/2015 07:00:00 AM,19.20
63rd Street Weather Station,06/30/2015 08:00:00 AM,20.00
63rd Street Weather Station,06/30/2015 09:00:00 AM,21.20
63rd Street Weather Station,06/30/2015 10:00:00 AM,22.30
63rd Street Weather Station,06/30/2015 11:00:00 AM,23.50
63rd Street Weather Station,06/30/2015 12:00:00 PM,22.40
63rd Street Weather Station,06/30/2015 01:00:00 PM,20.30
63rd Street Weather Station,06/30/2015 02:00:00 PM,18.90
63rd Street Weather Station,06/30/2015 03:00:00 PM,19.20
63rd Street Weather Station,06/30/2015 04:00:00 PM,19.40
63rd Street Weather Station,06/30/2015 05:00:00 PM,19.20
63rd Street Weather Station,06/30/2015 06:00:00 PM,16.20
63rd Street Weather Station,06/30/2015 07:00:00 PM,15.60
63rd Street Weather Station,06/30/2015 08:00:00 PM,15.80
63rd Street Weather Station,06/30/2015 09:00:00 PM,15.50
63rd Street Weather Station,06/30/2015 10:00:00 PM,15.80
63rd Street Weather Station,06/30/2015 11:00:00 PM,15.80
63rd Street Weather Station,06/30/2015 12:00:00 AM,19.60
63rd Street Weather Station,07/01/2015 01:00:00 AM,15.80
63rd Street Weather Station,07/01/2015 02:00:00 AM,15.60
63rd Street Weather Station,07/01/2015 03:00:00 AM,15.10
63rd Street Weather Station,07/01/2015 04:00:00 AM,14.90
63rd Street Weather Station,07/01/2015 05:00:00 AM,14.60
63rd Street Weather Station,07/01/2015 06:00:00 AM,14.40
63rd Street Weather Station,07/01/2015 07:00:00 AM,14.60
63rd Street Weather Station,07/01/2015 08:00:00 AM,14.50
63rd Street Weather Station,07/01/2015 09:00:00 AM,14.70
63rd Street Weather Station,07/01/2015 10:00:00 AM,15.10
63rd Street Weather Station,07/01/2015 11:00:00 AM,14.90
63rd Street Weather Station,07/01/2015 12:00:00 PM,15.00
63rd Street Weather Station,07/01/2015 01:00:00 PM,15.10
63rd Street Weather Station,07/01/2015 02:00:00 PM,14.80
63rd Street Weather Station,07/01/2015 03:00:00 PM,14.70
63rd Street Weather Station,07/01/2015 04:00:00 PM,14.70
63rd Street Weather Station,07/01/2015 05:00:00 PM,14.60
63rd Street Weather Station,07/01/2015 06:00:00 PM,14.70
63rd Street Weather Station,07/01/2015 07:00:00 PM,14.40
63rd Street Weather Station,07/01/2015 08:00:00 PM,14.30
63rd Street Weather Station,07/01/2015 12:00:00 AM,15.80
63rd Street Weather Station,07/02/2015 02:00:00 PM,16.10
63rd Street Weather Station,07/02/2015 03:00:00 PM,16.10
63rd Street Weather Station,07/02/2015 04:00:00 PM,16.40
63rd Street Weather Station,07/02/2015 05:00:00 PM,16.80
63rd Street Weather Station,07/02/2015 06:00:00 PM,16.00
63rd Street Weather Station,07/02/2015 07:00:00 PM,16.00
63rd Street Weather Station,07/02/2015 08:00:00 PM,15.80
63rd Street Weather Station,07/02/2015 09:00:00 PM,15.60
63rd Street Weather Station,07/02/2015 10:00:00 PM,16.10
63rd Street Weather Station,07/02/2015 11:00:00 PM,16.60
63rd Street Weather Station,07/03/2015 01:00:00 AM,17.00
63rd Street Weather Station,07/03/2015 02:00:00 AM,17.00
63rd Street Weather Station,07/03/2015 03:00:00 AM,17.20
63rd Street Weather Station,07/03/2015 04:00:00 AM,17.30
63rd Street Weather Station,07/03/2015 05:00:00 AM,17.30
63rd Street Weather Station,07/03/2015 06:00:00 AM,17.20
63rd Street Weather Station,07/03/2015 07:00:00 AM,17.20
63rd Street Weather Station,07/03/2015 08:00:00 AM,17.60
63rd Street Weather Station,07/03/2015 09:00:00 AM,17.80
63rd Street Weather Station,07/03/2015 10:00:00 AM,17.80
63rd Street Weather Station,07/03/2015 11:00:00 AM,17.90
63rd Street Weather Station,07/03/2015 12:00:00 PM,17.90
63rd Street Weather Station,07/03/2015 01:00:00 PM,18.30
63rd Street Weather Station,07/03/2015 02:00:00 PM,18.20
63rd Street Weather Station,07/03/2015 03:00:00 PM,18.50
63rd Street Weather Station,07/03/2015 04:00:00 PM,18.80
63rd Street Weather Station,07/03/2015 05:00:00 PM,18.90
63rd Street Weather Station,07/03/2015 06:00:00 PM,18.90
63rd Street Weather Station,07/03/2015 07:00:00 PM,18.60
63rd Street Weather Station,07/03/2015 08:00:00 PM,18.20
63rd Street Weather Station,07/03/2015 09:00:00 PM,18.40
63rd Street Weather Station,07/03/2015 10:00:00 PM,18.50
63rd Street Weather Station,07/03/2015 11:00:00 PM,18.50
63rd Street Weather Station,07/03/2015 12:00:00 AM,16.90
63rd Street Weather Station,07/04/2015 01:00:00 AM,18.00
63rd Street Weather Station,07/04/2015 02:00:00 AM,18.20
63rd Street Weather Station,07/04/2015 03:00:00 AM,17.80
63rd Street Weather Station,07/04/2015 04:00:00 AM,17.30
63rd Street Weather Station,07/04/2015 05:00:00 AM,17.40
63rd Street Weather Station,07/04/2015 06:00:00 AM,17.30
63rd Street Weather Station,07/04/2015 07:00:00 AM,18.70
63rd Street Weather Station,07/04/2015 08:00:00 AM,20.80
63rd Street Weather Station,07/04/2015 09:00:00 AM,22.60
63rd Street Weather Station,07/04/2015 10:00:00 AM,21.50
63rd Street Weather Station,07/04/2015 11:00:00 AM,22.00
63rd Street Weather Station,07/04/2015 12:00:00 PM,21.20
63rd Street Weather Station,07/04/2015 01:00:00 PM,21.00
63rd Street Weather Station,07/04/2015 02:00:00 PM,21.20
63rd Street Weather Station,07/04/2015 03:00:00 PM,21.80
63rd Street Weather Station,07/04/2015 04:00:00 PM,22.00
63rd Street Weather Station,07/04/2015 05:00:00 PM,21.30
63rd Street Weather Station,07/04/2015 06:00:00 PM,21.40
63rd Street Weather Station,07/04/2015 07:00:00 PM,21.10
63rd Street Weather Station,07/04/2015 08:00:00 PM,20.60
63rd Street Weather Station,07/04/2015 09:00:00 PM,20.40
63rd Street Weather Station,07/04/2015 10:00:00 PM,21.00
63rd Street Weather Station,07/04/2015 11:00:00 PM,21.00
63rd Street Weather Station,07/04/2015 12:00:00 AM,17.80
63rd Street Weather Station,07/05/2015 03:00:00 AM,20.20
63rd Street Weather Station,07/05/2015 04:00:00 AM,19.80
63rd Street Weather Station,07/05/2015 05:00:00 AM,19.20
63rd Street Weather Station,07/05/2015 06:00:00 AM,19.30
63rd Street Weather Station,07/05/2015 07:00:00 AM,20.50
63rd Street Weather Station,07/05/2015 08:00:00 AM,22.90
63rd Street Weather Station,07/05/2015 09:00:00 AM,24.30
63rd Street Weather Station,07/05/2015 10:00:00 AM,22.30
63rd Street Weather Station,07/05/2015 11:00:00 AM,22.10
63rd Street Weather Station,07/05/2015 12:00:00 PM,23.70
63rd Street Weather Station,07/05/2015 01:00:00 PM,23.30
63rd Street Weather Station,07/05/2015 02:00:00 PM,23.20
63rd Street Weather Station,07/05/2015 04:00:00 PM,22.80
63rd Street Weather Station,07/05/2015 05:00:00 PM,23.30
63rd Street Weather Station,07/05/2015 06:00:00 PM,22.80
63rd Street Weather Station,07/05/2015 07:00:00 PM,22.00
63rd Street Weather Station,07/05/2015 08:00:00 PM,21.80
63rd Street Weather Station,07/05/2015 09:00:00 PM,21.90
63rd Street Weather Station,07/05/2015 10:00:00 PM,21.60
63rd Street Weather Station,07/05/2015 11:00:00 PM,23.50
63rd Street Weather Station,07/05/2015 12:00:00 AM,20.70
63rd Street Weather Station,07/06/2015 01:00:00 AM,22.80
63rd Street Weather Station,07/06/2015 02:00:00 AM,22.30
63rd Street Weather Station,07/06/2015 03:00:00 AM,21.90
63rd Street Weather Station,07/06/2015 04:00:00 AM,21.20
63rd Street Weather Station,07/06/2015 05:00:00 AM,21.10
63rd Street Weather Station,07/06/2015 06:00:00 AM,20.90
63rd Street Weather Station,07/06/2015 07:00:00 AM,21.30
63rd Street Weather Station,07/06/2015 08:00:00 AM,22.80
63rd Street Weather Station,07/06/2015 09:00:00 AM,24.60
63rd Street Weather Station,07/06/2015 10:00:00 AM,26.00
63rd Street Weather Station,07/06/2015 11:00:00 AM,27.30
63rd Street Weather Station,07/06/2015 12:00:00 PM,27.70
63rd Street Weather Station,07/06/2015 01:00:00 PM,28.30
63rd Street Weather Station,07/06/2015 02:00:00 PM,29.30
63rd Street Weather Station,07/06/2015 03:00:00 PM,29.70
63rd Street Weather Station,07/06/2015 04:00:00 PM,23.10
63rd Street Weather Station,07/06/2015 05:00:00 PM,22.80
63rd Street Weather Station,07/06/2015 06:00:00 PM,27.00
63rd Street Weather Station,07/06/2015 07:00:00 PM,26.90
63rd Street Weather Station,07/06/2015 08:00:00 PM,26.10
63rd Street Weather Station,07/06/2015 09:00:00 PM,26.00
63rd Street Weather Station,07/06/2015 10:00:00 PM,23.20
63rd Street Weather Station,07/06/2015 11:00:00 PM,22.60
63rd Street Weather Station,07/06/2015 12:00:00 AM,23.20
63rd Street Weather Station,07/07/2015 01:00:00 AM,22.60
63rd Street Weather Station,07/07/2015 02:00:00 AM,22.50
63rd Street Weather Station,07/07/2015 03:00:00 AM,22.50
63rd Street Weather Station,07/07/2015 04:00:00 AM,22.20
63rd Street Weather Station,07/07/2015 05:00:00 AM,16.10
63rd Street Weather Station,07/07/2015 06:00:00 AM,15.60
63rd Street Weather Station,07/07/2015 07:00:00 AM,15.00
63rd Street Weather Station,07/07/2015 08:00:00 AM,14.30
63rd Street Weather Station,07/07/2015 09:00:00 AM,15.20
63rd Street Weather Station,07/07/2015 10:00:00 AM,15.10
63rd Street Weather Station,07/07/2015 11:00:00 AM,15.80
63rd Street Weather Station,07/07/2015 12:00:00 PM,15.90
63rd Street Weather Station,07/07/2015 01:00:00 PM,16.10
63rd Street Weather Station,07/07/2015 02:00:00 PM,16.40
63rd Street Weather Station,07/07/2015 03:00:00 PM,16.00
63rd Street Weather Station,07/07/2015 04:00:00 PM,16.30
63rd Street Weather Station,07/07/2015 05:00:00 PM,16.00
63rd Street Weather Station,07/07/2015 06:00:00 PM,16.10
63rd Street Weather Station,07/07/2015 07:00:00 PM,16.30
63rd Street Weather Station,07/07/2015 08:00:00 PM,16.00
63rd Street Weather Station,07/07/2015 09:00:00 PM,15.70
63rd Street Weather Station,07/07/2015 10:00:00 PM,15.50
63rd Street Weather Station,07/07/2015 11:00:00 PM,15.70
63rd Street Weather Station,07/07/2015 12:00:00 AM,22.70
63rd Street Weather Station,07/08/2015 01:00:00 AM,15.80
63rd Street Weather Station,07/08/2015 02:00:00 AM,15.40
63rd Street Weather Station,07/08/2015 03:00:00 AM,15.20
63rd Street Weather Station,07/08/2015 04:00:00 AM,15.20
63rd Street Weather Station,07/08/2015 05:00:00 AM,15.70
63rd Street Weather Station,07/08/2015 06:00:00 AM,16.00
63rd Street Weather Station,07/08/2015 07:00:00 AM,16.00
63rd Street Weather Station,07/08/2015 08:00:00 AM,16.00
63rd Street Weather Station,07/08/2015 09:00:00 AM,16.30
63rd Street Weather Station,07/08/2015 10:00:00 AM,16.70
63rd Street Weather Station,07/08/2015 11:00:00 AM,16.40
63rd Street Weather Station,07/08/2015 12:00:00 PM,16.30
63rd Street Weather Station,07/08/2015 01:00:00 PM,16.20
63rd Street Weather Station,07/08/2015 02:00:00 PM,16.40
63rd Street Weather Station,07/08/2015 03:00:00 PM,16.70
