Station Name,Measurement Timestamp,Air Temperature,wind
63rd Street Weather Station,06/27/2015 10:00:00 AM,16.00,5.4
63rd Street Weather Station,06/27/2015 11:00:00 AM,16.40,5.4
63rd Street Weather Station,06/27/2015 12:00:00 PM,16.60,3.1
63rd Street Weather Station,06/27/2015 01:00:00 PM,17.00,5.4
63rd Street Weather Station,06/27/2015 02:00:00 PM,17.80,5.4
63rd Street Weather Station,06/27/2015 03:00:00 PM,18.10,2.2
63rd Street Weather Station,06/27/2015 04:00:00 PM,18.10,3.1
63rd Street Weather Station,06/27/2015 05:00:00 PM,18.90,3.6
63rd Street Weather Station,06/27/2015 06:00:00 PM,19.20,0.9
63rd Street Weather Station,06/27/2015 07:00:00 PM,17.90,2.7
63rd Street Weather Station,06/27/2015 08:00:00 PM,17.60,3.1
63rd Street Weather Station,06/27/2015 09:00:00 PM,18.20,4.9
63rd Street Weather Station,06/27/2015 10:00:00 PM,17.90,3.1
63rd Street Weather Station,06/27/2015 11:00:00 PM,18.40,2.7
63rd Street Weather Station,06/27/2015 12:00:00 AM,16.50,5.8
63rd Street Weather Station,06/28/2015 02:00:00 AM,16.40,1.3
63rd Street Weather Station,06/28/2015 03:00:00 AM,16.00,3.1
63rd Street Weather Station,06/28/2015 04:00:00 AM,15.60,2.7
63rd Street Weather Station,06/28/2015 05:00:00 AM,15.00,2.2
63rd Street Weather Station,06/28/2015 06:00:00 AM,15.50,1.8
63rd Street Weather Station,06/28/2015 07:00:00 AM,18.60,4.5
63rd Street Weather Station,06/28/2015 08:00:00 AM,19.90,8.9
63rd Street Weather Station,06/28/2015 09:00:00 AM,20.30,5.4
63rd Street Weather Station,06/28/2015 10:00:00 AM,18.90,5.4
63rd Street Weather Station,06/28/2015 11:00:00 AM,19.70,4
63rd Street Weather Station,06/28/2015 12:00:00 PM,20.50,5.4
63rd Street Weather Station,06/28/2015 01:00:00 PM,20.70,3.6
63rd Street Weather Station,06/28/2015 02:00:00 PM,21.10,6.7
63rd Street Weather Station,06/28/2015 03:00:00 PM,20.80,4.5
63rd Street Weather Station,06/28/2015 04:00:00 PM,20.90,5.4
63rd Street Weather Station,06/28/2015 05:00:00 PM,22.70,2.2
63rd Street Weather Station,06/28/2015 06:00:00 PM,22.90,1.8
63rd Street Weather Station,06/28/2015 07:00:00 PM,22.70,4.9
63rd Street Weather Station,06/28/2015 08:00:00 PM,22.80,2.7
63rd Street Weather Station,06/28/2015 09:00:00 PM,20.60,1.3
63rd Street Weather Station,06/28/2015 10:00:00 PM,20.30,2.2
63rd Street Weather Station,06/28/2015 11:00:00 PM,21.00,3.6
63rd Street Weather Station,06/28/2015 12:00:00 AM,18.20,4
63rd Street Weather Station,06/29/2015 01:00:00 AM,20.40,5.8
63rd Street Weather Station,06/29/2015 02:00:00 AM,20.10,3.1
63rd Street Weather Station,06/29/2015 03:00:00 AM,19.70,4
63rd Street Weather Station,06/29/2015 04:00:00 AM,19.50,8.5
63rd Street Weather Station,06/29/2015 05:00:00 AM,18.80,1.8
63rd Street Weather Station,06/29/2015 06:00:00 AM,18.80,2.2
63rd Street Weather Station,06/29/2015 07:00:00 AM,18.40,4.5
63rd Street Weather Station,06/29/2015 08:00:00 AM,18.50,0.9
63rd Street Weather Station,06/29/2015 09:00:00 AM,18.40,4.5
63rd Street Weather Station,06/29/2015 10:00:00 AM,18.80,9.4
63rd Street Weather Station,06/29/2015 11:00:00 AM,18.50,2.2
63rd Street Weather Station,06/29/2015 12:00:00 PM,18.50,1.8
63rd Street Weather Station,06/29/2015 01:00:00 PM,18.60,4
63rd Street Weather Station,06/29/2015 02:00:00 PM,19.40,5.4
63rd Street Weather Station,06/29/2015 03:00:00 PM,19.20,2.2
63rd Street Weather Station,06/29/2015 04:00:00 PM,19.20,1.8
63rd Street Weather Station,06/29/2015 05:00:00 PM,19.80,4.9
63rd Street Weather Station,06/29/2015 06:00:00 PM,18.90,5.8
63rd Street Weather Station,06/29/2015 07:00:00 PM,19.90,2.7
63rd Street Weather Station,06/29/2015 08:00:00 PM,19.20,2.2
63rd Street Weather Station,06/29/2015 09:00:00 PM,19.00,5.4
63rd Street Weather Station,06/29/2015 10:00:00 PM,19.80,6.7
63rd Street Weather Station,06/29/2015 11:00:00 PM,19.10,4
63rd Street Weather Station,06/29/2015 12:00:00 AM,20.80,2.2
63rd Street Weather Station,06/30/2015 01:00:00 AM,19.30,4.5
63rd Street Weather Station,06/30/2015 02:00:00 AM,19.30,4.9
63rd Street Weather Station,06/30/2015 03:00:00 AM,19.30,3.1
63rd Street Weather Station,06/30/2015 04:00:00 AM,19.00,5.8
63rd Street Weather Station,06/30/2015 05:00:00 AM,19.10,2.2
63rd Street Weather Station,06/30/2015 06:00:00 AM,18.80,0.9
63rd Street Weather Station,06/30/2015 07:00:00 AM,19.20,4
63rd Street Weather Station,06/30/2015 08:00:00 AM,20.00,4
63rd Street Weather Station,06/30/2015 09:00:00 AM,21.20,2.7
63rd Street Weather Station,06/30/2015 10:00:00 AM,22.30,4.5
63rd Street Weather Station,06/30/2015 11:00:00 AM,23.50,4
63rd Street Weather Station,06/30/2015 12:00:00 PM,22.40,4.5
